player_id,league,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,rating,total_shots,shots_on_target,yellow_cards,red_cards,tackles,interceptions,saves
1459459,Serie A,8,2,144,0,0,0.022,0.03060873,6.55,1,0,0,0,2,0,0
877201,Serie A,10,9,762,1,2,0.5678,0.9249534,6.9,17,4,2,0,14,4,0
934384,Serie A,30,29,2340,3,1,2.2478,2.94555242,7.0333333333333,50,12,0,0,37,16,0
876259,Serie A,21,12,1066,0,3,0.5714,1.47698238,6.745,12,2,4,0,19,4,0
1110136,Serie A,32,31,2615,0,1,0.3371,0.35772221,6.909375,13,2,1,0,65,41,0
1086199,Serie A,3,0,14,0,0,,2.969e-05,6.6,0,0,0,0,0,0,0
891346,Serie A,29,25,2301,0,2,0.5195,3.75374445,6.8724137931034,18,4,2,0,43,20,0
1201388,Serie A,23,9,797,1,0,0.4124,0.15228081,6.4681818181818,7,2,3,1,15,6,0
957921,Serie A,30,19,1770,1,0,1.5636,0.40784155,6.5034482758621,14,3,2,0,17,17,0
895868,Serie A,29,9,1002,0,0,0.5668,0.68131746,6.7769230769231,9,1,3,0,16,6,0
1516324,Serie A,16,13,1186,1,0,0.6464,0.6539566,6.96875,8,2,5,2,19,11,0
984527,Serie A,8,7,571,0,0,0.2942,0.05806972,6.4625,4,0,2,1,14,11,0
1155423,Serie A,26,26,2216,1,0,0.9341,0.43155426,7.0307692307692,7,1,6,0,30,21,0
928103,Serie A,31,30,2618,2,0,1.9962,0.6237105,6.7354838709677,16,8,5,0,32,23,0
958517,Serie A,24,22,2010,0,0,0.4834,0.51142031,6.8541666666667,16,4,6,0,42,25,0
1963449,Serie A,27,21,2015,0,2,0.4205,1.2839019,6.5814814814815,13,3,4,0,33,8,0
905351,Serie A,16,16,1440,0,0,,0.09742337,6.98125,0,0,1,0,0,0,50
990411,Serie A,16,16,1440,0,0,,0.0176211,6.98125,0,0,1,0,1,0,44
1002428,Serie A,1,1,90,0,0,,0.00080129,7.6,0,0,1,0,0,0,4
835601,Serie A,26,23,2047,8,1,15.0577,0.18227396,6.6807692307692,98,27,4,0,6,7,0
804909,Serie A,27,23,1957,5,4,4.769,2.14763973,6.7703703703704,35,13,3,1,7,2,0
958982,Serie A,28,13,1399,3,1,5.2883,0.63259249,6.5178571428571,41,14,1,0,7,3,0
1012179,Serie A,17,5,542,0,0,1.0582,0.7292275,6.6647058823529,9,1,1,0,14,6,0
862223,Serie A,10,5,499,2,0,0.4471,0.96489111,7.13,5,2,0,0,6,1,0
901850,Serie A,28,25,2165,2,3,2.3687,3.33645143,7.2071428571429,30,7,5,0,37,13,0
807400,Serie A,1,0,25,0,0,0.0124,0.217417,6.8,1,0,0,0,2,0,0
